file_name,Nino Index,SWE_anomaly,basin_name,geometry
SWE_gapfilled_for_basin_01013500,-0.27154999999999996,-48.128857,01013500,POINT (-115.2081 46.5023)
SWE_gapfilled_for_basin_02DD013,0.09694999999999995,-25.039606,02DD013,POINT (-79.3951 46.26344)
SWE_gapfilled_for_basin_02EC002,0.70055,-26.643164,02EC002,POINT (-79.2816 44.71367)
SWE_gapfilled_for_basin_05AA008,0.46958333333333335,-95.31552,05AA008,POINT (-114.411 49.59732)
SWE_gapfilled_for_basin_05AD003,0.12449999999999999,-93.94954,05AD003,POINT (-113.839 49.11366)
SWE_gapfilled_for_basin_05BB001,0.285,-63.80606,05BB001,POINT (-115.572 51.17223)
SWE_gapfilled_for_basin_05BL022,0.3132833333333333,-83.49818,05BL022,POINT (-114.589 50.28526)
SWE_gapfilled_for_basin_05CA009,0.3736666666666667,-54.27294,05CA009,POINT (-115.019 51.64625)
SWE_gapfilled_for_basin_05DA009,0.2709,-113.33626,05DA009,POINT (-116.471 52.00119)
SWE_gapfilled_for_basin_06043500,0.4538333333333333,-76.478645,06043500,POINT (-111.2366 45.4952)
SWE_gapfilled_for_basin_06311000,0.35833333333333334,-54.6863,06311000,POINT (-105.8972 44.9998)
SWE_gapfilled_for_basin_06622700,-0.19124999999999998,-139.7581,06622700,POINT (-106.7651 41.0205)
SWE_gapfilled_for_basin_06632400,0.11066666666666665,-108.375084,06632400,POINT (-106.2254 41.2305)
SWE_gapfilled_for_basin_06746095,0.25433333333333336,-99.63621,06746095,POINT (-106.1925 40.1875)
SWE_gapfilled_for_basin_07AA002,0.2866666666666666,-44.28348,07AA002,POINT (-118.059 52.91019)
SWE_gapfilled_for_basin_07AG003,0.06416666666666668,-48.25953,07AG003,POINT (-116.272 53.59835)
SWE_gapfilled_for_basin_07BB002,0.018666666666666675,-47.15264,07BB002,POINT (-115.005 53.60419)
SWE_gapfilled_for_basin_07EC002,0.10680000000000005,-78.127106,07EC002,POINT (-124.568 55.91686)
SWE_gapfilled_for_basin_07EE007,0.22831666666666672,-123.17218,07EE007,POINT (-122.913 55.08194)
SWE_gapfilled_for_basin_07FB001,0.36649999999999994,-89.2243,07FB001,POINT (-121.212 55.71844)
SWE_gapfilled_for_basin_07OB001,0.15319999999999995,-28.127283,07OB001,POINT (-115.86 60.743)
SWE_gapfilled_for_basin_08DB001,0.5564166666666667,-151.44582,08DB001,POINT (-129.085 55.26225)
SWE_gapfilled_for_basin_08ED001,0.10066666666666668,-220.25298,08ED001,POINT (-127.452 53.93033)
SWE_gapfilled_for_basin_08JE001,-0.04733333333333336,-53.33706,08JE001,POINT (-124.271 54.41686)
SWE_gapfilled_for_basin_08LA001,0.3981666666666666,-107.34679,08LA001,POINT (-120.066 51.65572)
SWE_gapfilled_for_basin_08ME028,-0.046650000000000004,-148.92375,08ME028,POINT (-123.203 50.82094)
SWE_gapfilled_for_basin_08NB005,0.26016666666666666,-57.45865,08NB005,POINT (-117.18 51.4833)
SWE_gapfilled_for_basin_08ND013,0.3555,-124.49174,08ND013,POINT (-118.085 51.01263)
SWE_gapfilled_for_basin_08NE077,0.48778333333333335,-96.59902,08NE077,POINT (-118.125 49.90518)
SWE_gapfilled_for_basin_08NH084,0.06183333333333334,-130.69548,08NH084,POINT (-116.452 49.15912)
SWE_gapfilled_for_basin_08NJ013,0.28985000000000005,-104.833435,08NJ013,POINT (-117.565 49.46008)
SWE_gapfilled_for_basin_08NL007,0.17983333333333332,-106.64864,08NL007,POINT (-120.504 49.4597)
SWE_gapfilled_for_basin_08NL038,-0.04100000000000002,-77.810135,08NL038,POINT (-120.152 49.37697)
SWE_gapfilled_for_basin_08NL070,0.09416666666666665,-150.37062,08NL070,POINT (-120.673 49.0941)
SWE_gapfilled_for_basin_08NN015,0.29703333333333337,-93.26499,08NN015,POINT (-119.092 49.70292)
SWE_gapfilled_for_basin_09081600,-0.4335,-100.912796,09081600,POINT (-107.574 38.8731)
SWE_gapfilled_for_basin_09223000,0.12449999999999994,-88.93126,09223000,POINT (-110.8548 41.7961)
SWE_gapfilled_for_basin_09AH004,0.41566666666666663,-35.726692,09AH004,POINT (-136.28 62.05117)
SWE_gapfilled_for_basin_09BC001,0.1926666666666666,-27.371784,09BC001,POINT (-136.581 62.82972)
SWE_gapfilled_for_basin_09EA004,0.06608333333333336,-51.35304,09EA004,POINT (-138.596 64.00197)
SWE_gapfilled_for_basin_09EB003,0.16716666666666663,-61.245686,09EB003,POINT (-139.63 63.77)
SWE_gapfilled_for_basin_10242000,-0.24583333333333335,-91.0629,10242000,POINT (-112.8735 37.3245)
SWE_gapfilled_for_basin_10308200,0.37183333333333335,-175.91179,10308200,POINT (-119.6974 38.372)
SWE_gapfilled_for_basin_10329500,0.23716666666666666,-87.749565,10329500,POINT (-117.6237 41.2934)
SWE_gapfilled_for_basin_10AB001,0.060916666666666716,-54.23064,10AB001,POINT (-129.119 60.47389)
SWE_gapfilled_for_basin_10BE001,0.06899999999999995,-38.049202,10BE001,POINT (-126.097 59.4125)
SWE_gapfilled_for_basin_10CB001,0.2373333333333333,-50.473152,10CB001,POINT (-122.691 57.23822)
SWE_gapfilled_for_basin_10ED002,0.3515,-33.954636,10ED002,POINT (-121.228 61.74272)
SWE_gapfilled_for_basin_10MC002,-0.19658333333333333,-33.481903,10MC002,POINT (-134.889 67.25889)
SWE_gapfilled_for_basin_11230500,0.10110000000000001,-323.24368,11230500,POINT (-118.9725 37.339444)
SWE_gapfilled_for_basin_11237500,-0.2006666666666667,-326.31223,11237500,POINT (-119.213333 37.198333)
SWE_gapfilled_for_basin_11264500,0.14416666666666667,-407.6582,11264500,POINT (-119.4063 37.3791)
SWE_gapfilled_for_basin_11266500,0.06275000000000001,-385.7327,11266500,POINT (-119.5093 37.3551)
SWE_gapfilled_for_basin_12358500,0.25616666666666665,-138.673,12358500,POINT (-114.0559 48.2221)
SWE_gapfilled_for_basin_12388400,0.2079666666666667,-23.24847,12388400,POINT (-114.4068444 47.26630278)
