file_name,Nino Index,SWE_anomaly,basin_name,geometry
SWE_gapfilled_for_basin_01013500,0.1636,49.61133,01013500,POINT (-115.2081 46.5023)
SWE_gapfilled_for_basin_02DD013,0.1337833333333333,29.237293,02DD013,POINT (-79.3951 46.26344)
SWE_gapfilled_for_basin_02EC002,-0.3069,26.078999,02EC002,POINT (-79.2816 44.71367)
SWE_gapfilled_for_basin_05AA008,-0.23625,109.03642,05AA008,POINT (-114.411 49.59732)
SWE_gapfilled_for_basin_05AD003,-0.44349999999999995,126.6281,05AD003,POINT (-113.839 49.11366)
SWE_gapfilled_for_basin_05BB001,-0.3553333333333334,71.42157,05BB001,POINT (-115.572 51.17223)
SWE_gapfilled_for_basin_05BL022,-0.08635000000000001,100.45009,05BL022,POINT (-114.589 50.28526)
SWE_gapfilled_for_basin_05CA009,-0.2781666666666667,53.73327,05CA009,POINT (-115.019 51.64625)
SWE_gapfilled_for_basin_05DA009,-0.32366666666666666,127.36875,05DA009,POINT (-116.471 52.00119)
SWE_gapfilled_for_basin_06043500,-0.3378333333333333,86.75289,06043500,POINT (-111.2366 45.4952)
SWE_gapfilled_for_basin_06311000,-0.41724999999999995,61.645702,06311000,POINT (-105.8972 44.9998)
SWE_gapfilled_for_basin_06622700,-0.047499999999999966,162.10612,06622700,POINT (-106.7651 41.0205)
SWE_gapfilled_for_basin_06632400,-0.30500000000000005,123.150856,06632400,POINT (-106.2254 41.2305)
SWE_gapfilled_for_basin_06746095,-0.25558333333333333,111.64773,06746095,POINT (-106.1925 40.1875)
SWE_gapfilled_for_basin_07AA002,-0.21975000000000003,55.590454,07AA002,POINT (-118.059 52.91019)
SWE_gapfilled_for_basin_07AG003,-0.47383333333333333,55.821545,07AG003,POINT (-116.272 53.59835)
SWE_gapfilled_for_basin_07BB002,-0.24033333333333334,51.000896,07BB002,POINT (-115.005 53.60419)
SWE_gapfilled_for_basin_07EC002,0.26086666666666664,83.35563,07EC002,POINT (-124.568 55.91686)
SWE_gapfilled_for_basin_07EE007,-0.17074999999999999,158.37605,07EE007,POINT (-122.913 55.08194)
SWE_gapfilled_for_basin_07FB001,0.01983333333333334,92.16847,07FB001,POINT (-121.212 55.71844)
SWE_gapfilled_for_basin_07OB001,-0.4608,36.199837,07OB001,POINT (-115.86 60.743)
SWE_gapfilled_for_basin_08DB001,-0.22975000000000004,188.58426,08DB001,POINT (-129.085 55.26225)
SWE_gapfilled_for_basin_08ED001,-0.25366666666666665,256.79703,08ED001,POINT (-127.452 53.93033)
SWE_gapfilled_for_basin_08JE001,0.0759666666666667,54.611683,08JE001,POINT (-124.271 54.41686)
SWE_gapfilled_for_basin_08LA001,-0.5418333333333333,94.46736,08LA001,POINT (-120.066 51.65572)
SWE_gapfilled_for_basin_08ME028,-0.055333333333333325,143.80624,08ME028,POINT (-123.203 50.82094)
SWE_gapfilled_for_basin_08NB005,-0.2065,58.671654,08NB005,POINT (-117.18 51.4833)
