station_id,lat,lon
ALE-05AA805,49.26666641,-114.3499985
ALE-05AA806,49.81666565,-114.6333313
ALE-05AD802,49.25,-114.0500031
ALE-05AE804,48.83333206,-113.7166672
ALE-05AE805,48.76666641,-113.6999969
ALE-05AE806,48.76666641,-113.6833344
ALE-05AE807,48.83333206,-113.7166672
ALE-05AE808,48.78333282,-113.6666641
ALE-05AE810,49.03333282,-113.5666656
ALE-05AE811,49.01666641,-113.6166687
ALE-05AE812,49.01666641,-113.6500015
ALE-05AE813,49.04999924,-113.4833298
ALE-05AE815,48.96666718,-113.5333328
ALE-05AE816,48.98333359,-113.5999985
ALE-05BA811,51.70000076,-116.4666672
ALE-05BL808,50.48333359,-114.8666687
ALE-05FA802,53.06666565,-113.8166656
ALE-07BB805,53.86669922,-115.3167038
ALE-07DD802,58.41666794,-110.9333344
ALE-07GF808,54.91666794,-117.8166656
ALE-07GF809,54.95000076,-117.6833344
ALE-07GF810,54.91666794,-117.6833344
ALE-07KF801,58.79999924,-111.5500031
ALE-11AB801,49.56666565,-110.2666702
ALE-13A05,48.31666565,-113.3499985
ALE-13A16,48.76666641,-113.8166656
ALE-13A19,48.79999924,-113.8499985
ALE-13A26,48.29999924,-113.3333359
ALE-13A26X,48.29999924,-113.3333359
ALE-13A27,48.79999924,-113.6666641
ALE-14A12,49.51666641,-115.4333344
ALE-14A12S,49.51666641,-115.4333344
ALE-MT01,48.41666794,-113.9499969
ALE-MT02,48.43333435,-113.9333344
ALE-MT03,48.43333435,-113.9333344
ALE-MT04,48.91666794,-114.7666702
ALE-MT05,48.91666794,-114.7666702
ALE-MT06,48.5,-114.3499985
BCE-1A01,52.90000153,-118.5500031
BCE-1A02,53.29999924,-120.3166656
BCE-1A03,53.04999924,-121.4833298
BCE-1A06,54.08333206,-121.8666687
BCE-1A07,54.48333359,-124.1500015
BCE-1A08,53.25,-121.3666687
BCE-1A09,54.08333206,-121.6666641
BCE-1A13,53.95000076,-121.4499969
BCE-1A14,54.09999847,-121
BCE-1A17,53.78333282,-120.3666687
BCE-1A18,53.26666641,-119.4499969
BCE-1A19,53.61666489,-121.0166702
BCE-1A20,53.33333206,-120.3166656
BCE-1A21,53.58333206,-121.9000015
BCE-1A22,53.33333206,-120.2833328
BCE-1A24,54.98333359,-125.5833359
BCE-1B03,53.18333435,-126.8833313
BCE-1C02,50.96666718,-120.5500031
BCE-1C03,50.93333435,-120.5500031
BCE-1C04,50.84999847,-120.5
BCE-1C07,50.46666718,-120.5
BCE-1C10,52.84999847,-121.4166641
BCE-1C12,50.78333282,-122.9166641
BCE-1C13,52.33333206,-121.1166687
BCE-1C16,50.25,-121.5666656
BCE-1C18,50.76666641,-122.1999969
BCE-1C20,52.09999847,-120.8666687
BCE-1C24,52.84999847,-121.4166641
BCE-1C26,50.78333282,-121.5500031
BCE-1C27,50.70000076,-121.4499969
BCE-1C30,50.13333511,-120.3666687
BCE-1C31,50.28333282,-120.5500031
BCE-1C33,52.53333282,-122.2666702
BCE-1C34,51.31666565,-120.4166641
BCE-1C35,51.46666718,-123.6166687
BCE-1C35A,51.46666718,-123.6166687
BCE-1C36,50.98333359,-121.7166672
BCE-1C42,51.34259033,-120.4091797
BCE-1D01,49.36666489,-122.8000031
BCE-1D06,50.53333282,-122.9166641
BCE-1D07,49.38333511,-121.4166641
BCE-1D11,49.58333206,-121.2166672
BCE-1D11P,49.58333206,-121.2166672
BCE-1D12,49.59999847,-121.1166687
BCE-1D12P,49.58333206,-121.2166672
BCE-1D13,50.51666641,-122.9666672
BCE-1D14,49.60274887,-121.153656
BCE-1D14P,49.59999847,-121.1500015
BCE-1D15,49.59999847,-121.1833344
BCE-1D15P,49.59999847,-121.1833344
BCE-1E01A,52.13333511,-119.25
BCE-1E02A,52.18333435,-119.3166656
BCE-1E03,51.81666565,-119.9333344
